arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch5_improved_transformer,191,0,1.0,7.3461,6.3234,280.039,1176.55,3.662,0.000467,19.278
arch5_improved_transformer,191,1,1.0,5.9667,5.4949,106.699,1178.96,3.664,0.000933,19.278
arch5_improved_transformer,191,2,1.0,5.3173,4.7959,46.69,1181.81,3.661,0.00083,19.278
arch5_improved_transformer,191,3,1.0,4.4936,4.0894,20.527,1193.63,3.627,0.000719,19.278
arch5_improved_transformer,191,4,1.0,4.1262,3.8944,16.469,1185.38,3.607,0.000643,19.278
arch5_improved_transformer,191,5,1.0,3.9649,3.7893,14.666,1185.05,3.626,0.000587,19.278
arch5_improved_transformer,191,6,1.0,3.8667,3.7191,13.593,1186.64,3.663,0.000544,19.278
arch5_improved_transformer,191,7,1.0,3.7979,3.6691,12.831,1190.26,3.662,0.000508,19.278
arch5_improved_transformer,191,8,1.0,3.7469,3.6328,12.327,1185.48,3.664,0.000479,19.278
arch5_improved_transformer,191,9,1.0,3.7066,3.6055,11.972,1184.08,3.663,0.000455,19.278
arch5_improved_transformer,191,10,1.0,3.6735,3.5809,11.639,1183.04,3.625,0.000434,19.278
arch5_improved_transformer,191,11,1.0,3.6461,3.5582,11.374,1185.73,3.663,0.000415,19.278
arch5_improved_transformer,191,12,1.0,3.6228,3.5439,11.184,1185.93,3.626,0.000399,19.278
arch5_improved_transformer,191,13,1.0,3.6029,3.5313,10.985,1183.05,3.664,0.000384,19.278
arch5_improved_transformer,191,14,1.0,3.5859,3.511,10.83,1184.94,3.625,0.000371,19.278
arch5_improved_transformer,191,15,1.0,3.5702,3.506,10.717,1190.26,3.663,0.00036,19.278
arch5_improved_transformer,191,16,1.0,3.5568,3.5022,10.635,1190.32,3.624,0.000349,19.278
arch5_improved_transformer,191,17,1.0,3.5448,3.4884,10.495,1176.37,3.737,0.000339,19.278
arch5_improved_transformer,191,18,1.0,3.5337,3.4811,10.385,1179.33,3.699,0.00033,19.278
arch5_improved_transformer,191,19,1.0,3.5233,3.4701,10.294,1176.63,3.698,0.000322,19.278
arch5_improved_transformer,191,20,1.0,3.5147,3.4661,10.225,1158.14,3.7,0.000314,19.278
arch5_improved_transformer,191,21,1.0,3.5065,3.4595,10.161,1168.47,3.665,0.000307,19.278
arch5_improved_transformer,191,22,1.0,3.4982,3.4511,10.064,1174.78,3.736,0.0003,19.278
arch5_improved_transformer,191,23,1.0,3.4915,3.4417,9.993,1166.63,3.699,0.000294,19.278
arch5_improved_transformer,191,24,1.0,3.4849,3.442,9.961,1160.26,3.736,0.000288,19.278
