arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch5_improved_transformer,1604,0,1.0,7.3492,6.3239,280.557,1216.15,3.662,0.000467,19.278
arch5_improved_transformer,1604,1,1.0,5.9584,5.4919,106.434,1231.0,3.664,0.000933,19.278
arch5_improved_transformer,1604,2,1.0,5.3463,5.0278,61.845,1234.84,3.661,0.00083,19.278
arch5_improved_transformer,1604,3,1.0,4.9713,4.5017,33.306,1238.21,3.627,0.000719,19.278
arch5_improved_transformer,1604,4,1.0,4.3735,4.0438,19.475,1235.99,3.607,0.000643,19.278
arch5_improved_transformer,1604,5,1.0,4.0963,3.8749,16.087,1158.34,3.699,0.000587,19.278
arch5_improved_transformer,1604,6,1.0,3.959,3.7827,14.595,1163.74,3.74,0.000544,19.278
arch5_improved_transformer,1604,7,1.0,3.8723,3.7183,13.514,1157.59,3.74,0.000508,19.278
arch5_improved_transformer,1604,8,1.0,3.8104,3.6791,12.94,1218.85,3.737,0.000479,19.278
arch5_improved_transformer,1604,9,1.0,3.7631,3.6427,12.446,1217.62,3.738,0.000455,19.278
arch5_improved_transformer,1604,7,1.0,3.8723,3.7183,13.514,1182.58,3.738,0.000508,19.278
arch5_improved_transformer,1604,8,1.0,3.8104,3.6791,12.94,1200.59,3.737,0.000479,19.278
arch5_improved_transformer,1604,9,1.0,3.7631,3.6427,12.446,1191.76,3.738,0.000455,19.278
arch5_improved_transformer,1604,10,1.0,3.7258,3.6178,12.075,1192.9,3.698,0.000434,19.278
arch5_improved_transformer,1604,11,1.0,3.6949,3.5898,11.741,1192.83,3.737,0.000415,19.278
arch5_improved_transformer,1604,12,1.0,3.6696,3.5801,11.583,1153.78,3.701,0.000399,19.278
arch5_improved_transformer,1604,13,1.0,3.6481,3.5665,11.406,1183.87,3.736,0.000384,19.278
arch5_improved_transformer,1604,14,1.0,3.6289,3.5446,11.194,1207.98,3.699,0.000371,19.278
arch5_improved_transformer,1604,15,1.0,3.6123,3.5366,11.086,1226.01,3.737,0.00036,19.278
arch5_improved_transformer,1604,16,1.0,3.5976,3.5301,10.947,1217.19,3.699,0.000349,19.278
arch5_improved_transformer,1604,17,1.0,3.5844,3.5222,10.858,1220.13,3.737,0.000339,19.278
arch5_improved_transformer,1604,18,1.0,3.5725,3.5116,10.715,1221.41,3.699,0.00033,19.278
arch5_improved_transformer,1604,19,1.0,3.5619,3.4971,10.562,1234.42,3.699,0.000322,19.278
arch5_improved_transformer,1604,20,1.0,3.5525,3.502,10.579,1245.27,3.699,0.000314,19.278
arch5_improved_transformer,1604,21,1.0,3.5436,3.493,10.518,1239.68,3.666,0.000307,19.278
arch5_improved_transformer,1604,22,1.0,3.5354,3.4816,10.382,1227.62,3.735,0.0003,19.278
arch5_improved_transformer,1604,12,1.0,3.6696,3.5801,11.583,1221.34,3.701,0.000399,19.278
arch5_improved_transformer,1604,13,1.0,3.6481,3.5665,11.406,1229.08,3.736,0.000384,19.278
arch5_improved_transformer,1604,14,1.0,3.6289,3.5446,11.194,1228.08,3.699,0.000371,19.278
arch5_improved_transformer,1604,15,1.0,3.6123,3.5366,11.086,1231.14,3.737,0.00036,19.278
arch5_improved_transformer,1604,16,1.0,3.5976,3.5301,10.947,1227.61,3.699,0.000349,19.278
arch5_improved_transformer,1604,17,1.0,3.5844,3.5222,10.858,1229.5,3.737,0.000339,19.278
arch5_improved_transformer,1604,18,1.0,3.5725,3.5116,10.715,1194.44,3.698,0.00033,19.278
arch5_improved_transformer,1604,19,1.0,3.5619,3.4971,10.562,1205.88,3.699,0.000322,19.278
arch5_improved_transformer,1604,20,1.0,3.5525,3.502,10.579,1203.99,3.7,0.000314,19.278
arch5_improved_transformer,1604,21,1.0,3.5436,3.493,10.518,1202.97,3.664,0.000307,19.278
arch5_improved_transformer,1604,22,1.0,3.5354,3.4816,10.382,1198.11,3.736,0.0003,19.278
arch5_improved_transformer,1604,23,1.0,3.5279,3.4744,10.332,1199.97,3.699,0.000294,19.278
arch5_improved_transformer,1604,24,1.0,3.521,3.4714,10.267,1198.39,3.739,0.000288,19.278
arch5_improved_transformer,1604,25,1.0,3.5144,3.464,10.193,1189.81,3.738,0.000282,19.278
arch5_improved_transformer,1604,26,1.0,3.5083,3.4629,10.168,1184.62,3.736,0.000277,19.278
arch5_improved_transformer,1604,27,1.0,3.5028,3.4591,10.128,1182.11,3.737,0.000272,19.278
arch5_improved_transformer,1604,28,1.0,3.4978,3.4505,10.044,1179.36,3.736,0.000267,19.278
arch5_improved_transformer,1604,29,1.0,3.4928,3.4527,10.03,1182.63,3.737,0.000263,19.278
arch5_improved_transformer,1604,30,1.0,3.4882,3.4476,10.009,1184.19,3.738,0.000258,19.278
arch5_improved_transformer,1604,31,1.0,3.4836,3.4509,10.016,1187.3,3.68,0.000254,19.278
arch5_improved_transformer,1604,32,1.0,3.4795,3.4388,9.925,1169.08,3.738,0.00025,19.278
arch5_improved_transformer,1604,33,1.0,3.4754,3.438,9.921,1165.76,3.736,0.000247,19.278
arch5_improved_transformer,1604,34,1.0,3.4718,3.4368,9.902,1171.04,3.737,0.000243,19.278
arch5_improved_transformer,1604,35,1.0,3.4682,3.4376,9.866,1170.66,3.736,0.00024,19.278
arch5_improved_transformer,1604,36,1.0,3.4648,3.4314,9.807,1169.46,3.736,0.000236,19.278
arch5_improved_transformer,1604,37,1.0,3.4616,3.4287,9.803,1163.6,3.737,0.000233,19.278
arch5_improved_transformer,1604,38,1.0,3.4582,3.432,9.816,1278.27,3.736,0.00023,19.278
arch5_improved_transformer,1604,39,1.0,3.4553,3.425,9.761,1274.14,3.699,0.000227,19.278
arch5_improved_transformer,1604,40,1.0,3.4522,3.4212,9.717,1283.21,3.738,0.000225,19.278
arch5_improved_transformer,1604,41,1.0,3.4498,3.4218,9.72,1284.8,3.736,0.000222,19.278
arch5_improved_transformer,1604,42,1.0,3.4472,3.424,9.717,1276.07,3.738,0.000219,19.278
arch5_improved_transformer,1604,43,1.0,3.4446,3.4175,9.678,1279.22,3.682,0.000217,19.278
arch5_improved_transformer,1604,44,1.0,3.4423,3.4113,9.635,1286.79,3.737,0.000214,19.278
arch5_improved_transformer,1604,45,1.0,3.4395,3.4119,9.631,1280.69,3.737,0.000212,19.278
arch5_improved_transformer,1604,46,1.0,3.4375,3.412,9.612,1278.9,3.736,0.00021,19.278
arch5_improved_transformer,1604,47,1.0,3.435,3.4067,9.578,1284.3,3.737,0.000208,19.278
arch5_improved_transformer,1604,48,1.0,3.4329,3.4033,9.596,1280.6,3.699,0.000205,19.278
arch5_improved_transformer,1604,49,1.0,3.4308,3.4072,9.56,1280.4,3.736,0.000203,19.278
arch5_improved_transformer,1604,50,1.0,3.4286,3.415,9.614,1285.54,3.736,0.000201,19.278
arch5_improved_transformer,1604,51,1.0,3.4266,3.4009,9.522,1282.98,3.736,0.000199,19.278
arch5_improved_transformer,1604,52,1.0,3.425,3.4029,9.528,1272.54,3.736,0.000198,19.278
arch5_improved_transformer,1604,53,1.0,3.4228,3.4012,9.518,1201.89,3.736,0.000196,19.278
arch5_improved_transformer,1604,54,1.0,3.4212,3.3979,9.484,1207.25,3.699,0.000194,19.278
arch5_improved_transformer,1604,55,1.0,3.4194,3.3986,9.482,1206.43,3.737,0.000192,19.278
arch5_improved_transformer,1604,56,1.0,3.4179,3.3994,9.508,1203.82,3.738,0.00019,19.278
arch5_improved_transformer,1604,57,1.0,3.4162,3.4021,9.496,1187.2,3.738,0.000189,19.278
arch5_improved_transformer,1604,58,1.0,3.4148,3.4013,9.5,1188.84,3.736,0.000187,19.278
arch5_improved_transformer,1604,59,1.0,3.413,3.3914,9.426,1189.39,3.738,0.000186,19.278
arch5_improved_transformer,1604,60,1.0,3.4115,3.3952,9.434,1193.62,3.7,0.000184,19.278
arch5_improved_transformer,1604,61,1.0,3.41,3.3919,9.408,1191.42,3.735,0.000183,19.278
arch5_improved_transformer,1604,62,1.0,3.4086,3.3941,9.426,1182.62,3.737,0.000181,19.278
arch5_improved_transformer,1604,63,1.0,3.4072,3.3925,9.41,1184.95,3.736,0.00018,19.278
arch5_improved_transformer,1604,64,1.0,3.4056,3.3925,9.41,1182.69,3.737,0.000178,19.278
arch5_improved_transformer,1604,65,1.0,3.4045,3.3943,9.432,1190.42,3.735,0.000177,19.278
arch5_improved_transformer,1604,66,1.0,3.4031,3.3968,9.43,1187.65,3.736,0.000176,19.278
