arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch4_transformer,1604,0,1.0,6.849,5.6441,282.619,887.57,3.313,0.000467,19.252
arch4_transformer,1604,1,1.0,5.2381,4.7219,112.379,900.44,3.315,0.000933,19.252
arch4_transformer,1604,2,1.0,4.5172,4.1399,62.796,896.28,3.314,0.00083,19.252
arch4_transformer,1604,3,1.0,4.0631,3.6349,37.899,894.62,3.284,0.000719,19.252
arch4_transformer,1604,4,1.0,3.5333,3.1003,22.204,899.23,3.275,0.000643,19.252
arch4_transformer,1604,5,1.0,3.151,2.8563,17.397,896.54,3.284,0.000587,19.252
arch4_transformer,1604,6,1.0,2.9512,2.7211,15.197,896.28,3.315,0.000544,19.252
arch4_transformer,1604,7,1.0,2.8272,2.6406,14.021,904.58,3.314,0.000508,19.252
arch4_transformer,1604,8,1.0,2.7405,2.5825,13.23,897.08,3.314,0.000479,19.252
arch4_transformer,1604,9,1.0,2.6755,2.5405,12.687,898.96,3.317,0.000455,19.252
arch4_transformer,1604,10,1.0,2.6241,2.5036,12.226,890.44,3.284,0.000434,19.252
arch4_transformer,1604,11,1.0,2.5821,2.4672,11.79,900.14,3.315,0.000415,19.252
arch4_transformer,1604,12,1.0,2.5465,2.447,11.554,899.86,3.282,0.000399,19.252
arch4_transformer,1604,13,1.0,2.5163,2.4293,11.351,904.21,3.314,0.000384,19.252
arch4_transformer,1604,14,1.0,2.4901,2.4072,11.103,898.46,3.286,0.000371,19.252
arch4_transformer,1604,15,1.0,2.4673,2.3914,10.929,898.29,3.315,0.00036,19.252
arch4_transformer,1604,16,1.0,2.447,2.3852,10.862,893.98,3.284,0.000349,19.252
arch4_transformer,1604,17,1.0,2.429,2.3705,10.702,904.12,3.314,0.000339,19.252
arch4_transformer,1604,18,1.0,2.4125,2.3587,10.577,900.53,3.285,0.00033,19.252
arch4_transformer,1604,19,1.0,2.3977,2.3454,10.438,898.16,3.282,0.000322,19.252
arch4_transformer,1604,20,1.0,2.3842,2.3465,10.449,926.65,3.356,0.000314,19.252
arch4_transformer,1604,21,1.0,2.3716,2.333,10.309,924.98,3.309,0.000307,19.252
arch4_transformer,1604,22,1.0,2.3605,2.3273,10.25,925.79,3.382,0.0003,19.252
arch4_transformer,1604,23,1.0,2.3498,2.3111,10.086,922.18,3.351,0.000294,19.252
arch4_transformer,1604,24,1.0,2.3405,2.3073,10.047,922.51,3.381,0.000288,19.252
arch4_transformer,1604,25,1.0,2.331,2.3024,9.999,922.78,3.381,0.000282,19.252
arch4_transformer,1604,26,1.0,2.3232,2.3004,9.978,922.59,3.382,0.000277,19.252
arch4_transformer,1604,27,1.0,2.315,2.2934,9.908,927.79,3.381,0.000272,19.252
