arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch4_transformer,4090,0,1.0,6.8693,5.6383,280.972,909.09,3.313,0.000467,19.252
arch4_transformer,4090,1,1.0,5.2456,4.7055,110.557,913.47,3.315,0.000933,19.252
arch4_transformer,4090,2,1.0,4.52,4.1585,63.978,914.12,3.314,0.00083,19.252
arch4_transformer,4090,3,1.0,4.115,3.8947,49.143,909.53,3.284,0.000719,19.252
arch4_transformer,4090,4,1.0,3.8832,3.7555,42.756,910.83,3.275,0.000643,19.252
arch4_transformer,4090,5,1.0,3.7276,3.6817,39.714,921.1,3.284,0.000587,19.252
arch4_transformer,4090,6,1.0,3.5686,3.3893,29.645,911.77,3.315,0.000544,19.252
arch4_transformer,4090,7,1.0,3.2884,2.9585,19.269,913.92,3.314,0.000508,19.252
arch4_transformer,4090,8,1.0,3.0369,2.7861,16.217,916.6,3.314,0.000479,19.252
arch4_transformer,4090,9,1.0,2.8877,2.6861,14.675,916.37,3.317,0.000455,19.252
arch4_transformer,4090,10,1.0,2.7867,2.6187,13.717,908.6,3.284,0.000434,19.252
arch4_transformer,4090,11,1.0,2.7125,2.5624,12.967,911.56,3.315,0.000415,19.252
arch4_transformer,4090,12,1.0,2.6557,2.5218,12.451,909.42,3.282,0.000399,19.252
arch4_transformer,4090,13,1.0,2.6105,2.491,12.073,909.42,3.314,0.000384,19.252
arch4_transformer,4090,14,1.0,2.5724,2.4653,11.767,917.03,3.286,0.000371,19.252
arch4_transformer,4090,15,1.0,2.5404,2.4431,11.509,910.02,3.315,0.00036,19.252
arch4_transformer,4090,16,1.0,2.5127,2.4287,11.344,913.44,3.284,0.000349,19.252
arch4_transformer,4090,17,1.0,2.4892,2.4131,11.169,918.44,3.314,0.000339,19.252
arch4_transformer,4090,18,1.0,2.4677,2.3933,10.949,911.44,3.285,0.00033,19.252
arch4_transformer,4090,19,1.0,2.449,2.3799,10.803,907.71,3.282,0.000322,19.252
arch4_transformer,4090,20,1.0,2.4314,2.3753,10.754,907.18,3.286,0.000314,19.252
arch4_transformer,4090,21,1.0,2.4161,2.3655,10.65,911.2,3.25,0.000307,19.252
arch4_transformer,4090,22,1.0,2.4017,2.356,10.549,918.34,3.314,0.0003,19.252
arch4_transformer,4090,23,1.0,2.3891,2.3401,10.382,927.41,3.285,0.000294,19.252
