arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch4_transformer,191,63,1.0,2.1831,2.2109,9.124,893.95,3.381,0.00018,19.252
arch4_transformer,191,64,1.0,2.1812,2.2113,9.127,883.05,3.382,0.000178,19.252
arch4_transformer,191,65,1.0,2.1796,2.2114,9.129,883.49,3.383,0.000177,19.252
arch4_transformer,191,66,1.0,2.1777,2.211,9.125,882.78,3.381,0.000176,19.252
arch4_transformer,191,67,1.0,2.1761,2.207,9.089,884.29,3.35,0.000174,19.252
arch4_transformer,191,68,1.0,2.1744,2.207,9.088,879.89,3.349,0.000173,19.252
arch4_transformer,191,69,1.0,2.1731,2.2095,9.111,878.37,3.327,0.000172,19.252
arch4_transformer,191,70,1.0,2.1714,2.2088,9.105,877.43,3.382,0.000171,19.252
arch4_transformer,191,71,1.0,2.17,2.1984,9.01,878.69,3.382,0.000169,19.252
arch4_transformer,191,72,1.0,2.1683,2.205,9.071,880.06,3.382,0.000168,19.252
arch4_transformer,191,73,1.0,2.1668,2.1994,9.02,878.47,3.381,0.000167,19.252
arch4_transformer,191,74,1.0,2.1656,2.2061,9.08,879.55,3.314,0.000166,19.252
arch4_transformer,191,75,1.0,2.1645,2.1998,9.023,879.98,3.381,0.000165,19.252
arch4_transformer,191,76,1.0,2.1626,2.2039,9.06,880.22,3.381,0.000164,19.252
arch4_transformer,191,77,1.0,2.1616,2.1964,8.993,879.08,3.382,0.000163,19.252
arch4_transformer,191,78,1.0,2.1605,2.1985,9.011,881.59,3.38,0.000162,19.252
arch4_transformer,191,79,1.0,2.1593,2.1932,8.964,879.71,3.327,0.000161,19.252
arch4_transformer,191,80,1.0,2.1579,2.1988,9.014,880.37,3.35,0.00016,19.252
arch4_transformer,191,81,1.0,2.1568,2.1921,8.954,897.84,3.383,0.000159,19.252
arch4_transformer,191,82,1.0,2.1555,2.194,8.971,896.53,3.382,0.000158,19.252
arch4_transformer,191,83,1.0,2.1547,2.1877,8.915,890.69,3.382,0.000157,19.252
arch4_transformer,191,84,1.0,2.1533,2.1928,8.96,923.76,3.359,0.000156,19.252
arch4_transformer,191,85,1.0,2.1521,2.1918,8.951,936.93,3.385,0.000155,19.252
arch4_transformer,191,86,1.0,2.1513,2.1968,8.997,935.02,3.387,0.000154,19.252
arch4_transformer,191,87,1.0,2.1504,2.1911,8.945,934.49,3.387,0.000153,19.252
arch4_transformer,191,88,1.0,2.149,2.1898,8.933,930.79,3.387,0.000152,19.252
arch4_transformer,191,89,1.0,2.1482,2.192,8.953,930.73,3.358,0.000152,19.252
arch4_transformer,191,90,1.0,2.147,2.1881,8.918,935.75,3.387,0.000151,19.252
arch4_transformer,191,91,1.0,2.1462,2.1902,8.937,936.17,3.387,0.00015,19.252
arch4_transformer,191,92,1.0,2.1449,2.1903,8.938,934.02,3.387,0.000149,19.252
arch4_transformer,191,93,1.0,2.1443,2.1926,8.959,940.88,3.387,0.000148,19.252
